date,host,algo,numproc,msgsize,hostTime,hostMem,simTime
2015-02-18,graphite-1-0,ring_one_barrier,455,2975573,511.43,2406382992k,201.008935
2015-02-18,graphite-1-0,mvapich2_scatter_dest,455,2975573,511.63,2406391776k,200.892000
2015-02-18,graphite-1-0,mvapich2,455,2975573,512.93,2406391888k,200.886258
2015-02-18,graphite-1-0,ompi,455,2975573,510.74,2406382672k,201.036149
2015-02-18,graphite-1-0,mpich,455,2975573,511.96,2406382672k,201.036133
2015-02-18,graphite-1-0,impi,455,2975573,512.86,2406404656k,200.885920
2015-02-18,graphite-1-0,ring,871,260287,635.61,772320752k,56.389491
2015-02-18,graphite-1-0,ring_light_barrier,871,260287,993.65,772324304k,56.369463
2015-02-18,graphite-1-0,ring_mpi_barrier,871,260287,406.63,772321872k,56.702983
2015-02-18,graphite-1-0,ring_one_barrier,871,260287,637.90,772320736k,56.400990
2015-02-18,graphite-1-0,mvapich2_scatter_dest,871,260287,486.13,775000160k,56.213143
2015-02-18,graphite-1-0,mvapich2,871,260287,487.30,774999328k,56.213143
2015-02-18,graphite-1-0,ompi,871,260287,635.16,772320768k,56.386509
2015-02-18,graphite-1-0,mpich,871,260287,637.58,772320752k,56.386744
2015-02-18,graphite-1-0,impi,871,260287,491.30,775033456k,56.213808
2015-02-18,graphite-1-0,basic_linear,65,6065433,23.69,100164704k,4.141134
2015-02-18,graphite-1-0,bruck,65,6065433,23.66,100164400k,4.141134
2015-02-18,graphite-1-0,ring,65,6065433,23.69,100143232k,4.170316
2015-02-18,graphite-1-0,ring_light_barrier,65,6065433,23.68,100143248k,4.174415
2015-02-18,graphite-1-0,ring_mpi_barrier,65,6065433,23.74,100143360k,4.187039
2015-02-18,graphite-1-0,ring_one_barrier,65,6065433,23.75,100143312k,4.170576
2015-02-18,graphite-1-0,mvapich2_scatter_dest,65,6065433,23.69,100144032k,4.148545
2015-02-18,graphite-1-0,mvapich2,65,6065433,23.80,100144160k,4.148545
2015-02-18,graphite-1-0,ompi,65,6065433,23.65,100143232k,4.170316
2015-02-18,graphite-1-0,mpich,65,6065433,23.65,100143248k,4.170316
2015-02-18,graphite-1-0,impi,65,6065433,23.77,100144608k,4.149728
2015-02-18,parapluie-13-0,ring,610,314790,387.35,458374416k,37.931711
2015-02-18,parapluie-13-0,ring_light_barrier,610,314790,521.50,458374480k,38.048776
2015-02-18,parapluie-13-0,ring_mpi_barrier,610,314790,363.03,458375280k,38.198774
2015-02-18,parapluie-13-0,ring_one_barrier,610,314790,446.26,458374256k,37.929774
2015-02-18,parapluie-13-0,mvapich2_scatter_dest,610,314790,427.90,460638176k,37.841357
2015-02-18,parapluie-13-0,mvapich2,610,314790,429.43,460639600k,37.841359
2015-02-18,parapluie-13-0,ompi,610,314790,390.17,458374384k,37.931715
2015-02-18,parapluie-13-0,mpich,610,314790,422.51,458374304k,37.931677
2015-02-18,parapluie-13-0,impi,610,314790,358.98,460657552k,37.846787
2015-02-18,parapluie-13-0,ring,752,1534553,812.76,3389906144k,258.277609
2015-02-18,parapluie-13-0,ring_light_barrier,752,1534553,1075.90,3389907632k,258.329117
2015-02-18,parapluie-13-0,ring_mpi_barrier,752,1534553,819.37,3389908000k,258.637871
2015-02-18,parapluie-13-0,ring_one_barrier,752,1534553,799.79,3389907584k,258.311889
2015-02-18,parapluie-13-0,mvapich2_scatter_dest,752,1534553,805.91,3389922880k,258.080436
2015-02-18,parapluie-13-0,mvapich2,752,1534553,791.19,3389922864k,258.080440
2015-02-18,parapluie-13-0,ompi,752,1534553,792.24,3389906224k,258.304417
2015-02-18,parapluie-13-0,mpich,752,1534553,812.29,3389906192k,258.291885
2015-02-18,parapluie-13-0,impi,752,1534553,818.13,3389965680k,258.076396
2015-02-18,parapluie-13-1,basic_linear,473,1973971,547.56,1726463920k,145.122793
2015-02-18,parapluie-13-1,bruck,473,1973971,570.29,1726462992k,145.122793
2015-02-18,parapluie-13-1,ring,473,1973971,399.15,1725200112k,145.480560
2015-02-18,parapluie-13-1,ring_light_barrier,473,1973971,464.24,1725200512k,145.441199
2015-02-18,parapluie-13-1,ring_mpi_barrier,473,1973971,404.80,1725200736k,145.646994
2015-02-18,parapluie-13-1,ring_one_barrier,473,1973971,391.19,1725200416k,145.451367
2015-02-18,parapluie-13-1,mvapich2_scatter_dest,473,1973971,404.63,1725209952k,145.327148
2015-02-18,parapluie-13-1,mvapich2,473,1973971,403.81,1725210176k,145.327148
2015-02-18,parapluie-13-1,ompi,473,1973971,393.90,1725200128k,145.480566
2015-02-18,parapluie-13-1,mpich,473,1973971,399.14,1725200128k,145.480544
2015-02-18,parapluie-13-1,impi,473,1973971,408.98,1725223840k,145.320869
2015-02-18,parapluie-13-1,basic_linear,234,2233309,125.40,478017808k,5.550983
2015-02-18,parapluie-13-1,bruck,234,2233309,122.98,478017984k,5.550983
2015-02-18,parapluie-13-1,ring,234,2233309,113.94,477733888k,5.658450
2015-02-18,parapluie-13-1,ring_light_barrier,234,2233309,113.48,477734144k,5.673543
2015-02-18,parapluie-13-1,ring_mpi_barrier,234,2233309,116.32,477734352k,5.735008
2015-02-18,parapluie-13-1,ring_one_barrier,234,2233309,114.12,477734304k,5.658774
2015-02-18,parapluie-13-1,mvapich2_scatter_dest,234,2233309,115.57,477736848k,5.577850
2015-02-18,parapluie-13-1,mvapich2,234,2233309,115.88,477736960k,5.577850
2015-02-18,parapluie-13-1,ompi,234,2233309,113.59,477733888k,5.658450
2015-02-18,parapluie-13-1,mpich,234,2233309,111.97,477733888k,5.658450
2015-02-18,parapluie-13-1,impi,234,2233309,116.48,477740160k,5.579259
2015-02-19,parapluie-13-0,basic_linear,436,1449438,360.57,1077428608k,88.391035
2015-02-19,parapluie-13-0,bruck,436,1449438,387.93,1077427856k,88.391035
2015-02-19,parapluie-13-0,ring,436,1449438,268.44,1076356592k,88.691016
